source_package,count
python-orjson,38
python-tabulate,38
qttools-opensource-src,38
r-cran-spelling,38
v4l-utils,38
zeromq3,38
accountsservice,37
cg3,37
cmake,37
csound,37
gdb,37
haskell-tagged,37
horizon,37
hwloc,37
iso-codes,37
kdeclarative,37
libarchive-zip-perl,37
libcdio-paranoia,37
libcommons-lang-java,37
libcoq-stdlib-68yx1,37
libdigest-sha-perl,37
libevdev,37
libghc-network-uri-dev-2.6.4.2-2a756,37
libghc-network-uri-prof-2.6.4.2-2a756,37
libio-string-perl,37
libocaml-compiler-libs-ocaml-dev-cv331,37
libpoe-perl,37
librust-async-trait-0.1+default-dev,37
librust-futures-core-0.3-dev,37
librust-serde-1+std-dev,37
librust-tokio-1+time-dev,37
objfw,37
openexr,37
pyasn1,37
python-werkzeug,37
qrencode,37
qt6-positioning,37
rygel,37
bctoolbox,36
eccodes,36
evolution,36
globus-gss-assist,36
globus-xio,36
gnome-online-accounts,36
golang-github-davecgh-go-spew,36
haskell-base64-bytestring,36
haskell-scientific,36
javatools,36
jpeg-xl,36
kf6-kglobalaccel,36
less,36
libdbix-class-perl,36
libgcc1,36
liblog-any-perl,36
libmnl,36
libppxlib-ocaml-dev-uon82,36
librust-indexmap-2+default-dev,36
librust-rayon-1+default-dev,36
librust-unicode-width-0.1+default-dev,36
libunwind,36
libyaml-libyaml-perl,36
mgcv,36
node-lezer,36
okteta,36
protobuf-c,36
python-msgpack,36
r-cran-crayon,36
r-cran-reshape2,36
ros-image-pipeline,36
ruby-json,36
x11-xserver-utils,36
zope.interface,36
cron-daemon,35
dbi,35
dolfin,35
faad2,35
gnome-shell-extensions,35
golang-github-mattn-go-runewidth,35
golang-github-spf13-pflag,35
golang-yaml.v2,35
hamlib,35
kcompletion,35
libdata-dump-perl,35
libgc,35
libghc-base64-bytestring-dev-1.2.1.0-8ec51,35
libghc-base64-bytestring-prof-1.2.1.0-8ec51,35
libghc-pretty-dev-1.1.3.6-8f6c9,35
libghc-scientific-dev-0.3.7.0-4d9a8,35
libghc-scientific-prof-0.3.7.0-4d9a8,35
libidn,35
librust-document-features-0.2+default-dev,35
librust-glib-0.20+default-dev,35
librust-hex-0.4+default-dev,35
librust-syn-2+printing-dev,35
librust-time-0.3+formatting-dev,35
libzip,35
marble,35
mate-panel,35
ncbi-blast+,35
node-safe-buffer,35
pcb-rnd,35
python-keyring,35
python-oslo.context,35
python-pysam,35
qhull,35
r-cran-gridextra,35
r-cran-plyr,35
ros2-ament-lint,35
rrdtool,35
speech-dispatcher,35
tryton-modules-sale,35
xapian-core,35
akonadi-contacts,34
c-ares,34
cogl,34
debianutils,34
djvulibre,34
geos,34
golang-gomega,34
haskell-data-default-class,34
ibus-table,34
icingaweb2,34
imath,34
java9-runtime,34
jq,34
kf6-kdeclarative,34
kf6-ktexteditor,34
libao,34
libcapture-tiny-perl,34
libghc-pretty-prof-1.1.3.6-8f6c9,34
libhtml-tree-perl,34
libio-stringy-perl,34
libksysguard,34
libnma,34
libparse-recdescent-perl,34
libregexp-common-perl,34
llvm-defaults,34
maven-parent,34
node-glob,34
node-semver,34
python-babel,34
python-eventlet,34
python-oslo.messaging,34
r-bioc-biostrings,34
r-bioc-summarizedexperiment,34
ros-genpy,34
ros-vision-opencv,34
slepc,34
soapysdr,34
telepathy-glib,34
w3m,34
wireshark,34
xine-lib-1.2,34
zeroc-ice,34
allegro5,33
caja,33
debian-pan,33
google-glog,33
haskell-blaze-builder,33
iceoryx,33
importlib-resources,33
kf6-syntax-highlighting,33
libdbd-mysql-perl,33
libdigest-hmac-perl,33
libexception-class-perl,33
libfile-find-rule-perl,33
libghc-data-default-class-dev-0.1.2.2-3b83c,33
libghc-data-default-class-prof-0.1.2.2-3b83c,33
libghc-transformers-base-dev-0.4.6-6e9e2,33
libghc-transformers-base-prof-0.4.6-6e9e2,33
libipc-run-perl,33
libkpim6mime6-24.12,33
liblocale-gettext-perl,33
libmailtools-perl,33
libppi-perl,33
libraw,33
librust-bstr-1+std-dev,33
librust-glib-sys-0.20+default-dev,33
librust-uuid-1+default-dev,33
libssh2,33
lmdb,33
mailutils,33
mailx,33
mate-desktop,33
mongo-c-driver,33
nginx-abi-1.26.3-1,33
ossp-uuid,33
packagekit,33
ruby-faraday,33
slepc4py,33
snappy,33
wxpython4.0,33
xcb-util,33
xmlsec1,33
yorick,33
zip,33
bacula,32
busybox,32
clamav,32
dash-el,32
desktop-base,32
emacsen,32
glusterfs,32
haskell-memory,32
hiredis,32
imlib2,32
keyutils,32
libcgi-application-perl,32
libencode-perl,32
libghc-async-dev-2.2.5-51753,32
libghc-blaze-builder-dev-0.4.2.3-e841f,32
libghc-blaze-builder-prof-0.4.2.3-e841f,32
libghc-transformers-compat-dev-0.7.2-e7a3a,32
libghc-transformers-compat-prof-0.7.2-e7a3a,32
libjna-java,32
libkgapi,32
libmime-tools-perl,32
librust-chrono-0.4+clock-dev,32
librust-itoa-1+default-dev,32
libsfml,32
libversion-perl,32
libxau,32
nautilus,32
pdl,32
postfix,32
python-redis,32
r-cran-nnet,32
